0:0:0:0:0:0:0:1 - - [30/Jan/2023:10:24:57 +0700] "GET /QLTBYT/jsp/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [30/Jan/2023:10:24:57 +0700] "GET /QLTBYT/jsp/css/simple-sidebar.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [30/Jan/2023:10:24:57 +0700] "GET /QLTBYT/jsp/js/user.js HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [30/Jan/2023:10:24:57 +0700] "GET /QLTBYT/jsp/function.js HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [30/Jan/2023:10:24:57 +0700] "GET /QLTBYT/jsp/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [30/Jan/2023:10:24:57 +0700] "GET /QLTBYT/jsp/css/simple-sidebar.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [30/Jan/2023:10:24:57 +0700] "GET /QLTBYT/jsp/vendor/jquery/jquery.min.js HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [30/Jan/2023:10:24:57 +0700] "GET /QLTBYT/jsp/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [30/Jan/2023:10:24:58 +0700] "GET /QLTBYT/ViewDetailUser.do?userId= HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jan/2023:10:24:58 +0700] "GET /QLTBYT/SystemError?mess=ER013 HTTP/1.1" 200 1521
0:0:0:0:0:0:0:1 - - [30/Jan/2023:10:25:01 +0700] "GET /QLTBYT/jsp/js/user.js HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [30/Jan/2023:10:25:01 +0700] "GET /QLTBYT/jsp/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [30/Jan/2023:10:25:01 +0700] "GET /QLTBYT/jsp/css/simple-sidebar.css HTTP/1.1" 404 796
